,D_mean,LT_mean,D_min,LT_min,D_max,LT_max,D_std,LT_std
4,26.8,76.86666666666666,6,1,36,141,10.022831079946567,53.75322803152871
5,73.74193548387096,187.67741935483872,46,1,83,362,11.192163156826846,122.26702665253462
6,159.84126984126985,365.04761904761904,115,1,188,731,23.25122705690643,213.84818466133706
7,374.5196850393701,627.5433070866142,218,1,467,1279,67.158406722843,343.6946262679769
8,750.2823529411764,992.756862745098,470,1,903,2056,123.4301050355526,517.1795440744119
9,1174.7416829745596,1449.2954990215264,731,1,1886,3109,256.45706708750083,692.7727046818821
10,2181.8084066471165,1998.2531769305963,1156,1,3762,4160,540.7386414198286,889.9313939493151
11,4786.338055691255,2652.875915974597,2700,1,7795,5726,1213.3383961494849,1126.3879281376735
12,8974.792918192918,3422.160927960928,3208,1,15295,7242,2090.6276969298356,1399.9279307422305
13,18373.98620437065,4322.793553900623,3212,1,29286,9007,4626.273647939732,1678.6893120339298
14,35128.316059329794,5389.92644814747,3852,1,60970,11426,8749.668241130092,1992.443123238134
15,68563.3774834437,6431.8597064119385,0,0,115213,13518,21752.918615558785,2389.724632531338
