,D-depth_mean,D-time_mean,LT-depth_mean,LT-time_mean,D-depth_std,D-time_std,LT-depth_std,LT-time_std,D-depth_max,D-time_max,LT-depth_max,LT-time_max,D-depth_min,D-time_min,LT-depth_min,LT-time_min
4,17.4,0.04267152150471999,53.4,0.07948686281840005,10.18261824314917,0.006992962805636408,34.27577236808197,0.05026264582570884,26,0.0503473281860351,98,0.1677308082580566,1,0.0282368659973144,1,0.0076699256896972
5,37.516129032258064,0.08175909903741649,104.16129032258064,0.164622260678199,20.477420032386785,0.017893731892478774,60.56516973431377,0.09340322053246648,56,0.1538934707641601,200,0.330820083618164,1,0.0452909469604492,1,0.0083508491516113
6,78.39682539682539,0.14605448737977036,174.61904761904762,0.2763908212147062,42.988573006255784,0.024900735985616814,93.17628602009042,0.14255172775829142,118,0.1808676719665527,344,0.5387647151947021,1,0.0768048763275146,1,0.0078530311584472
7,161.8503937007874,0.39847032667145016,265.26771653543307,0.44758758582468106,88.4275399480973,0.1404359559740624,131.15690644505335,0.21992473029622514,244,0.9098868370056152,530,0.8592262268066406,1,0.1672439575195312,1,0.009253978729248
8,330.5843137254902,0.8295757284351424,376.5372549019608,0.7063257797091615,179.5518035182964,0.31201158300660864,173.77049979422281,0.32651669628972796,498,2.089510917663574,758,1.3776700496673584,1,0.3279483318328857,1,0.0172150135040283
9,669.9549902152642,1.5271108799018038,508.68688845401175,1.1950902831531085,361.9443624364937,0.41155424913669514,220.4070116591906,0.6331615329288199,1008,3.1236250400543213,1028,3.5061066150665283,1,0.6070981025695801,1,0.0163731575012207
10,1350.642228739003,4.865447150181,661.8211143695015,1.7590418822138423,726.8124366426558,2.308911199961628,270.6310344620904,0.9388434163455956,2030,11.60880160331726,1340,5.734546899795532,1,1.2140192985534668,1,0.0170872211456298
11,2713.986809965804,8.942151607975589,835.972154372252,2.2602683097837493,1456.5956350037566,4.521262901048662,324.1333926232984,0.989316990262526,4076,23.967145204544067,1694,7.880621433258057,1,2.4095170497894287,1,0.0391058921813964
12,5442.658852258853,16.861189238812607,1031.1470085470085,3.424294074085315,2916.189719450326,8.555937241395428,380.6810366450849,1.6307736573262992,8170,50.07790017127991,2090,9.391056537628174,1,4.817767381668091,1,0.061155080795288
13,10901.99621535832,29.34095221028021,1247.3440361372238,4.109096607377773,5835.38834302471,13.573872571283465,440.0912512917206,1.861024037068471,16360,94.64595532417296,2528,12.374090433120728,1,11.233049869537354,1,0.036755084991455
14,21822.66465238357,65.54868354800566,1484.5585668070562,5.246343537229166,11673.796295404713,27.28150197761447,502.2176791130704,2.308466697444221,32742,175.98048281669617,3008,16.020113229751587,1,27.14272141456604,1,0.0325043201446533
15,43665.832463449624,143.54921825031866,1742.6601959527516,6.723975393669737,23350.853067053467,56.242610287155685,566.8468579390192,2.9605374345437507,65508,1338.894284248352,3530,20.075931072235107,1,71.28451132774353,1,0.034698486328125
