,D-rz_mean,D-cx_mean,D-sx_mean,D-x_mean,LT-rz_mean,LT-cx_mean,LT-sx_mean,LT-x_mean,D-rz_std,D-cx_std,D-sx_std,D-x_std,LT-rz_std,LT-cx_std,LT-sx_std,LT-x_std,D-rz_max,D-cx_max,D-sx_max,D-x_max,LT-rz_max,LT-cx_max,LT-sx_max,LT-x_max,D-rz_min,D-cx_min,D-sx_min,D-x_min,LT-rz_min,LT-cx_min,LT-sx_min,LT-x_min
4,13.933333333333334,14.133333333333333,2.933333333333333,0.8,47.13333333333333,27.133333333333333,22.666666666666668,4.533333333333333,5.637459745395295,5.356793639411369,2.250925735484551,0.6761234037828132,33.21115704670574,20.601201999143736,17.048949136725895,1.8464895909600492,20,20,6,2,89,53,44,7,1,6,0,0,1,0,0,0
5,43.806451612903224,40.83870967741935,17.93548387096774,1.064516129032258,119.3225806451613,70.54838709677419,60.806451612903224,7.870967741935484,7.769252880591585,5.899699281565393,1.9652902053889771,0.2497310381147074,79.35800194761887,48.68253534186391,41.26048905416957,3.9390517935485523,53,46,20,2,236,145,119,15,26,28,16,1,1,0,0,0
6,86.77777777777777,93.6984126984127,33.714285714285715,5.587301587301587,240.28571428571428,156.3968253968254,126.84126984126983,11.555555555555555,19.886325699354025,12.936114639101076,5.141320815072943,1.1018301583731798,143.6629600243198,99.03103776782433,76.77894670042049,5.342398210353926,112,109,41,10,469,318,248,22,46,71,25,4,1,0,0,0
7,213.4724409448819,205.31496062992127,84.79527559055119,17.89763779527559,428.66141732283467,292.98425196850394,232.1259842519685,15.78740157480315,51.427221926773484,30.366726984259156,20.630667026232004,8.10039646851508,237.44032568514413,169.2139616857791,130.4893106444966,6.4643465661994,307,253,131,34,858,589,468,28,100,144,47,6,1,0,0,0
8,428.9647058823529,408.2352941176471,170.37254901960785,35.57254901960784,697.4078431372549,479.0352941176471,387.1372549019608,21.023529411764706,100.14530157020043,68.19621650994594,39.90843890013016,13.662467676246393,358.9646287068581,255.55533695363127,202.27949203502206,7.929278651627462,571,540,236,65,1400,1005,768,40,213,269,103,15,1,0,0,0
9,614.2954990215264,882.26614481409,204.587084148728,32.639921722113506,1051.3346379647749,726.2857142857143,593.9628180039139,26.389432485322896,187.07564989496373,243.59251495432903,51.08527808258716,12.672321668283555,502.8170052206226,356.8417738166546,289.32345795090765,9.06701660246922,982,1172,384,136,2115,1498,1192,48,241,487,128,21,1,0,0,0
10,1083.672531769306,1701.3998044965788,302.5972629521017,62.20332355816227,1517.1827956989248,1056.4379276637342,865.1485826001955,34.14956011730205,343.1872157681224,468.99845142213485,71.06657439623167,31.302071430363952,685.8554436942337,488.6762640094858,396.47025959964594,11.876653960501978,2082,2386,791,289,3041,2166,1737,69,418,769,199,41,1,0,0,0
11,2492.6731802638005,3487.197850512946,766.7630679042501,179.33854421104056,2100.8773815339523,1484.0029311187104,1206.467513434294,42.232046897899366,877.7548540181879,944.7905018109001,277.51968225879625,98.12139724191977,901.61742797244,657.4737568522196,522.8400494386319,13.663401924924198,4770,4812,1857,585,4211,3074,2414,80,798,1928,383,75,1,0,0,0
12,4508.242735042735,7075.223931623932,1231.2200244200244,248.97435897435898,2816.881807081807,2017.7719169719169,1626.114774114774,50.936019536019536,1554.737938317737,1897.034167341293,325.59545269750447,109.43274520199876,1152.5518022044328,856.4231440152098,670.8734356038901,16.17970676106552,9402,9814,3764,1101,5690,4201,3267,103,1406,2547,501,81,1,0,0,0
13,9542.74826028568,14355.062019289464,2972.8118666829446,566.0798437309242,3687.045049444512,2673.007080942498,2135.680502991088,63.83872543035039,3574.1237614809215,3770.0319444061815,1567.1968004580249,391.6138316451542,1443.6667621693464,1087.914958856257,841.9791802852018,20.37494677789102,19232,19581,9558,2445,7403,5535,4294,130,1277,2161,296,49,1,0,0,0
14,18120.144906305315,27896.486052615517,5679.024598669353,955.8554599279742,4734.499481169505,3461.838369041079,2740.90331441128,72.63559787584691,6332.603728805552,7642.976634273116,2008.2403731209267,508.6176663437835,1781.4480329530122,1351.3435742786507,1036.7461235288326,22.083794150131016,39395,39308,20428,4741,9500,7199,5487,153,1944,3303,488,63,1,0,0,0
15,37020.349520027514,54614.53112785717,11431.180669772677,2110.440417748038,5917.851443044307,4390.718426565773,3423.1823895437915,87.67665176198368,13650.787376870905,15653.276475922006,5639.843896985697,1390.6788225254488,2155.266739231119,1645.547144526781,1267.6928068859827,26.621363129173012,76978,81345,39271,9761,11954,9091,6929,207,730,1593,350,8,1,0,0,0
